Jahr;Bundesland;Kennzahl;Wirtschaftszweig;Stoffgruppe;Verwendung(t);VerwendungCO2(1000t);Einfuhr(t);EinfuhrCO2(1000t);Ausfuhr(t);AusfuhrCO2(100t)
2023;Baden-Württemberg;WZ08-27;Herstellung von elektrischen Ausrüstungen;F-IKW (Fluoridkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-27;Herstellung von elektrischen Ausrüstungen;H-BKW (Hydrogenierte Bromkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-27;Herstellung von elektrischen Ausrüstungen;H-CKW (Teilchlorierte Kohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-27;Herstellung von elektrischen Ausrüstungen;FBKW (Fluorbromkohlenwasserstoffe (Halone));N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-27;Herstellung von elektrischen Ausrüstungen;H-BCKW (Teilhalog. Bromchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-27;Herstellung von elektrischen Ausrüstungen;Insgesamt;N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-28;Maschinenbau;FKW (Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-28;Maschinenbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);114,79;143,39;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-28;Maschinenbau;H-FCKW (Teilhalog. Fluorchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-28;Maschinenbau;Blends;129,02;172,81;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-28;Maschinenbau;F-IKW (Fluoridkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-28;Maschinenbau;H-BKW (Hydrogenierte Bromkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-28;Maschinenbau;H-CKW (Teilchlorierte Kohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-28;Maschinenbau;FBKW (Fluorbromkohlenwasserstoffe (Halone));N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-28;Maschinenbau;H-BCKW (Teilhalog. Bromchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-28;Maschinenbau;Insgesamt;253,01;364,95;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-29;Herstellung von Kraftwagen und Kraftwagenteilen;FKW (Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-29;Herstellung von Kraftwagen und Kraftwagenteilen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-29;Herstellung von Kraftwagen und Kraftwagenteilen;H-FCKW (Teilhalog. Fluorchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-29;Herstellung von Kraftwagen und Kraftwagenteilen;Blends;2,26;4,62;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-29;Herstellung von Kraftwagen und Kraftwagenteilen;F-IKW (Fluoridkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-29;Herstellung von Kraftwagen und Kraftwagenteilen;H-BKW (Hydrogenierte Bromkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
