Jahr;Bundesland;Kennzahl;Wirtschaftszweig;Stoffgruppe;Verwendung;VerwendungCO2;Einfuhr;EinfuhrCO2;Ausfuhr;AusfuhrCO2
2023;Hamburg;;Insgesamt;Insgesamt;93,98;240,74;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-20;Herstellung von chemischen Erzeugnissen;Insgesamt;4,85;1,34;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;Insgesamt;3,25;5,08;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-28;Maschinenbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);3,89;4,99;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-28;Maschinenbau;Blends;6,34;11,52;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-28;Maschinenbau;Insgesamt;10,23;16,51;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);2,79;3,41;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Blends;3,89;8,21;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Insgesamt;6,68;11,62;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-35;Energieversorgung;Insgesamt;1,60;2,12;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);16,08;19,36;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;42,53;78,46;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;58,61;97,81;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;13,56;12,71;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);3,16;3,71;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Blends;14,67;24,76;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Insgesamt;17,83;28,47;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-49;Landverkehr und Transport in Rohrfernleitungen;Insgesamt;3,56;4,68;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-81;Gebäudebetreuung, Garten- und Landschaftsbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,48;1,83;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-81;Gebäudebetreuung, Garten- und Landschaftsbau;Blends;3,79;7,62;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-81;Gebäudebetreuung, Garten- und Landschaftsbau;Insgesamt;5,27;9,45;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-86;Gesundheitswesen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,88;0,30;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-86;Gesundheitswesen;Blends;0,33;0,68;N/A;N/A;N/A;N/A
2023;Hessen;WZ08-86;Gesundheitswesen;Insgesamt;1,21;0,97;N/A;N/A;N/A;N/A
2023;Hessen;;Insgesamt;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);151,70;68,79;64,99;13,48;N/A;N/A
2023;Hessen;;Insgesamt;Insgesamt;239,96;233,31;102,46;327,23;N/A;N/A
2023;Mecklenburg-Vorpommern;WZ08-28;Maschinenbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,88;0,94;N/A;N/A;N/A;N/A
2023;Mecklenburg-Vorpommern;WZ08-28;Maschinenbau;Blends;6,63;11,08;N/A;N/A;N/A;N/A
2023;Mecklenburg-Vorpommern;WZ08-28;Maschinenbau;Insgesamt;7,51;12,01;N/A;N/A;N/A;N/A
2023;Mecklenburg-Vorpommern;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,11;0,09;N/A;N/A;N/A;N/A
2023;Mecklenburg-Vorpommern;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Blends;0,80;1,93;N/A;N/A;N/A;N/A
2023;Mecklenburg-Vorpommern;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Insgesamt;0,91;2,02;N/A;N/A;N/A;N/A
2023;Mecklenburg-Vorpommern;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,57;1,72;N/A;N/A;N/A;N/A
2023;Mecklenburg-Vorpommern;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;4,05;9,42;N/A;N/A;N/A;N/A
2023;Mecklenburg-Vorpommern;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;5,62;11,14;N/A;N/A;N/A;N/A
